,School_Name,STREET,POSTCODE,WEB_SITE,School_Group,LNG,LAT,SCHNAME,TOWN,SCHSTATUS,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,OFSTEDRATING
330,Topcliffe Primary School,Hawkinge Drive,B35 6BS,http://www.topcliffe.bham.sch.uk/,Primary,-1.793760204,52.52071412,Topcliffe Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Good
331,Town Junior School,Ebrook Road,B72 1NX,http://www.townj.bham.sch.uk/,Juniors,-1.8177611359999999,52.55801642,Town Junior School,Sutton Coldfield,Open,Academy,Academy sponsor led,1,0,0,7,11,Mixed,Does not apply,Good
332,Turves Green Boys' School,Turves Green,B31 4BS,http://frog.turvesgreenboys.bham.sch.uk/,Secondary,-1.9703550019999998,52.39863469,Turves Green Boys' School,Birmingham,Closed,Maintained school,Community school,0,1,0,11,16,Boys,Does not apply,Special Measures
333,Turves Green Boys' School,Turves Green,B31 4BS,http://frog.turvesgreenboys.bham.sch.uk/,Secondary,-1.9703550019999998,52.39863469,Turves Green Boys' School,Birmingham,Open,Academy,Academy sponsor led,0,1,1,11,18,Boys,Does not apply,
334,Turves Green Primary School,Northfield,B31 4BP,http://www.turvesgreen-pri.bham.sch.uk/,Primary,-1.9689360180000002,52.40019411,Turves Green Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Does not apply,Good
335,Twickenham Primary School,Twickenham Road,B44 0NR,http://www.twicknhm.bham.sch.uk/,Primary,-1.866574419,52.54669124,Twickenham Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
336,Uffculme School,Queensbridge Road,B13 8QB,http://www.uffculme.bham.sch.uk/,Special,-1.893625584,52.43999896,Uffculme School,Birmingham,Open,Special school,Community special school,1,1,1,3,19,Mixed,Does not apply,Good
337,Victoria School,Bell Hill,B31 1LD,http://www.victoria.bham.sch.uk/,Special,-1.970458284,52.42021989,Victoria School,Birmingham,Open,Special school,Community special school,1,1,1,2,19,Mixed,Does not apply,Outstanding
338,Walmley Infant School,Walmley Ash Road,B76 1JB,http://www.walmleyinfantschool.co.uk/,Infants,-1.790933867,52.53554248,Walmley Infant School,Sutton Coldfield,Open,Maintained school,Foundation school,1,0,0,3,7,Mixed,None,Good
339,Walmley Junior School,Walmley Ash Road,B76 1JB,http://www.walmley-jun.bham.sch.uk/,Juniors,-1.790036156,52.53521726,Walmley Junior School,Sutton Coldfield,Open,Maintained school,Foundation school,1,0,0,7,11,Mixed,None,Outstanding
340,Ward End Primary School,Ingleton Road,B8 2RA,http://www.wardend.bham.sch.uk/,Primary,-1.831855426,52.49796679999999,Ward End Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Outstanding
341,Warren Farm Primary School,Aylesbury Crescent,B44 0DT,http://www.warrenfarm-primary.co.uk/,Primary,-1.8765869119999998,52.54153294,Warren Farm Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Requires improvement
342,Washwood Heath Academy,Burney Lane,B8 2AS,http://washwoodheath.com/,Secondary,-1.819291721,52.49048663,Washwood Heath Academy,Birmingham,Open,Academy,Academy converter,1,1,1,4,18,Mixed,Does not apply,Good
343,Water Mill Primary School,Water Mill Close,B29 6TS,http://www.watrmill.bham.sch.uk/,Primary,-1.94712206,52.44556373,Water Mill Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Requires improvement
344,Wattville Primary School,Wattville Road,B21 0DP,http://www.wattvilleprimary.bham.sch.uk/,Primary,-1.957350126,52.50401429,Wattville Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
345,Waverley School,Yardley Green Road,B9 5QA,http://www.waverley.bham.sch.uk/,All Through,-1.82993854,52.47551618,Waverley School,Birmingham,Open,Academy,Academy converter,1,1,1,4,19,Mixed,Does not apply,Good
346,Waverley Studio College,311 Yardley Green Road,B9 5QA,http://waverleystudiocollege.co.uk/,Secondary,-1.8297163140000001,52.47588444,Waverley Studio College,Birmingham,Open,Academy,Studio schools,0,1,1,14,19,Mixed,None,Good
347,Welford Primary School,Welford Road,B20 2BL,http://www.welford.bham.sch.uk/,Primary,-1.920018536,52.50419915,Welford Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
348,Welsh House Farm Community School and Special Needs Resources Base,Welsh House Farm Road,B32 2NG,http://www.welshhousefarm.bham.sch.uk/,Primary,-1.9739535730000002,52.45286348,Welsh House Farm Community School and Special Needs Resources Base,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
349,West Heath Primary School,Rednal Road,B38 8HU,http://www.westheathprimary.bham.sch.uk/,Primary,-1.95498075,52.39978963,West Heath Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
350,Westminster Primary School,Stamford Road,B20 3PN,http://www.westmnst.bham.sch.uk/page/default.asp?title=Home&pid=1,Primary,-1.908280028,52.50987228,Westminster Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
351,Wheelers Lane Primary School,Wheelers Lane,B13 0SF,http://web.wheelerslane-pri.bham.sch.uk/,Primary,-1.8876643530000001,52.42857167,Wheelers Lane Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
352,Wheelers Lane Technology College,Wheelers Lane,B13 0SF,http://www.wheelerslane.bham.sch.uk/,Secondary,-1.887980397,52.42922733,Wheelers Lane Technology College,Birmingham,Open,Maintained school,Community school,0,1,0,11,16,Boys,Does not apply,Outstanding
353,Whitehouse Common Primary School,Cotysmore Road,B75 6BL,http://www.whitehousecommon.bham.sch.uk/,Primary,-1.811201883,52.57072683,Whitehouse Common Primary School,Sutton Coldfield,Open,Maintained school,Foundation school,1,0,0,3,11,Mixed,Does not apply,Good
354,Wilkes Green Infant School (NC),Antrobus Road,B21 9NT,http://www.wilkgrni.bham.sch.uk/,Infants,-1.936348984,52.50946805,Wilkes Green Infant School (NC),Birmingham,Closed,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Special Measures
355,Wilson Stuart School,Perry Common Road,B23 7AT,http://www.wilsonstuart.co.uk/,Special,-1.868150851,52.53234514,Wilson Stuart School,Birmingham,Open,Special school,Academy special converter,1,1,1,2,19,Mixed,Does not apply,Outstanding
356,Woodcock Hill Primary School,Farwood Road,B31 1BS,http://www.woodcockhillschool.org/,Primary,-1.9836438719999998,52.43127116,Woodcock Hill Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Requires improvement
357,Woodgate Primary School,Lutley Grove,B32 3PN,http://www.woodgateprimary.co.uk/,Primary,-2.006191957,52.4372684,Woodgate Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
358,Woodhouse Primary Academy,Woodhouse Road,B32 2DL,http://www.woodhouse.priacademy.co.uk/,Primary,-1.9835894719999998,52.45976949999999,Woodhouse Primary Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Good
359,Woodthorpe Junior and Infant School,Greenwood Close,B14 6ET,http://www.woodthorpe-school.com/,Primary,-1.896115859,52.41938707,Woodthorpe Junior and Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Outstanding
360,World's End Infant and Nursery School,Worlds End Lane,B32 2SA,http://www.worldsendinfant.bham.sch.uk/,Infants,-1.986240178,52.45446573,World's End Infant and Nursery School,Birmingham,Open,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Good
361,World's End Junior School,Worlds End Lane,B32 2SA,http://www.wejs.org.uk/,Juniors,-1.9872996569999999,52.45440293,World's End Junior School,Birmingham,Open,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Good
362,Wychall Primary School,Middle Field Road,B31 3EH,http://www.wychall.bham.sch.uk/,Primary,-1.950385501,52.40844528,Wychall Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
363,Wylde Green Primary School,Green Lanes,B73 5JL,http://wyldegreenprimaryschool.org.uk/,Primary,-1.830509445,52.53778121,Wylde Green Primary School,Sutton Coldfield,Open,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Good
364,Wyndcliffe Primary School,Little Green Lane,B9 5BG,http://www.wyndcliffe.bham.sch.uk/,Primary,-1.859206999,52.47554548,Wyndcliffe Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Good
365,Yardley Primary School,Harvey Road,B26 1TD,https://intranet.yardley.bham.sch.uk/default.aspx,Primary,-1.81129915,52.46531126,Yardley Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
366,Yardley Wood Community Primary School,School Road,B14 4ER,http://www.ydlywood.bham.sch.uk/,Primary,-1.86066141,52.41579957,Yardley Wood Community Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
367,Yardleys School,Reddings Lane,B11 3EY,http://www.yardleys-vle.com,Secondary,-1.844159721,52.45072336,Yardleys School,Birmingham,Open,Academy,Academy converter,0,1,0,11,16,Mixed,Does not apply,
368,Yarnfield Primary School,Yarnfield Road,B11 3PJ,http://www.yarnfld.bham.sch.uk/,Primary,-1.8366260819999998,52.44592362,Yarnfield Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Requires improvement
369,Yenton Primary School,Chester Road,B24 0ED,http://www.yenton.bham.sch.uk/,Primary,-1.82381645,52.53026489,Yenton Primary School,Birmingham,Closed,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
370,Yenton Primary School,Chester Road,B24 0ED,http://www.yenton.bham.sch.uk/,Primary,-1.82381645,52.53026489,Yenton Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,
371,Yew Tree Community Junior and Infant School (NC),Yew Tree Road,B6 6RX,http://www.yewtree.bham.sch.uk/,Primary,-1.882788259,52.51053307,Yew Tree Community Junior and Infant School (NC),Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
372,Yorkmead Junior and Infant School,York Road,B28 8BB,http://www.yorkmead.co.uk/,Primary,-1.846372064,52.4407473,Yorkmead Junior and Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
