,School_Name,STREET,POSTCODE,LNG,LAT,LOCALITY,GENDER,OFSTEDRATING
240,Slade Primary School,slade road,B23 7PX,-1.858009896,52.51362551,Erdington,Mixed,Good
241,Sladefield Infant School,bamville road,B8 2TJ,-1.832318355,52.49241164,Ward End,Mixed,Outstanding
242,Somerville Primary (NC) School,somerville road,B10 9EN,-1.8551292259999999,52.47093776,Small Heath,Mixed,Good
243,Springfield House Community Special School,kenilworth road,B93 0AJ,-1.704616905,52.38340948,Knowle,Mixed,Special Measures
244,Springfield Primary School,springfield road,B13 9NY,-1.858578272,52.44333453,Moseley,Mixed,Special Measures
245,St Alban's Catholic Primary School,broad lane,B14 5AL,-1.8886438490000002,52.41454359,Kings Heath,Mixed,Good
246,St Ambrose Barlow Catholic Primary School,shirley road,B28 9JJ,-1.835281231,52.42458625,Hall Green,Mixed,Outstanding
247,St Anne's Catholic Primary School,lowe street,B12 0ER,-1.8796265269999999,52.47042573,,Mixed,Good
248,St Augustine's Catholic Primary School,avenue road,B21 8ED,-1.945124575,52.51421369,Handsworth,Mixed,Good
249,St Bernadette's Catholic Primary School,hobmoor road,B25 8QL,-1.827679569,52.46886476,Yardley,Mixed,Good
250,St Bernard's Catholic Primary School,wake green road,B13 9QE,-1.8614037490000002,52.43697205,Moseley,Mixed,Good
251,St Brigid's Catholic Primary School,frankley beeches road,B31 5AB,-1.97625378,52.41081758,Northfield,Mixed,Good
