,School_Name,STREET,POSTCODE,School_Group,LNG,LAT,LOCALITY,TOWN,SCHSTATUS,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,OFSTEDRATING
133,James Watt Primary School,boulton road,B21 0RE,Primary,-1.939279258,52.49998523,Soho,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
134,Jervoise School,jervoise road,B29 5QU,Primary,-1.968900246,52.44044703,Weoley Castle,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
135,John Willmott School,reddicap heath road,B75 7DY,Secondary,-1.79558003,52.56049742,,Sutton Coldfield,Closed,Community school,0,1,1,11,18,Mixed,Requires improvement
136,John Willmott School,reddicap heath road,B75 7DY,Secondary,-1.79558003,52.56049742,,Sutton Coldfield,Open,Academy sponsor led,0,1,1,11,18,Mixed,
137,King Edward VI Aston School,frederick road,B6 6DJ,Secondary,-1.885649753,52.50366755,Aston,Birmingham,Open,Academy converter,0,1,1,11,18,Boys,
138,King Edward VI Camp Hill School for Boys,vicarage road,B14 7QJ,Secondary,-1.903237165,52.43078346,Kings Heath,Birmingham,Open,Academy converter,0,1,1,11,18,Boys,
139,King Edward VI Camp Hill School for Girls,vicarage road,B14 7QJ,Secondary,-1.902295208,52.43109734,Kings Heath,Birmingham,Open,Academy converter,0,1,1,11,18,Girls,Outstanding
140,King Edward VI Five Ways School,scotland lane,B32 4BT,Secondary,-1.999322494,52.43210835,Bartley Green,Birmingham,Open,Academy converter,0,1,1,11,18,Mixed,
141,King Edward VI Handsworth School,rose hill road,B21 9AR,Secondary,-1.92333607,52.50258307,,Birmingham,Open,Academy converter,0,1,1,11,18,Girls,Outstanding
142,King Edward VI Sheldon Heath Academy,sheldon heath road,B26 2RZ,Secondary,-1.77862062,52.46861699,Sheldon,Birmingham,Open,Academy sponsor led,0,1,1,11,18,Mixed,Good
143,King Solomon International Business School,faraday wharf,B7 4BB,All Through,-1.887234904,52.48866484,,Birmingham,Closed,Free schools,1,1,1,4,19,Mixed,Special Measures
144,King Solomon International Business School,faraday wharf,B7 4BB,All Through,-1.887234904,52.48866484,,Birmingham,Open,Free schools,1,1,1,4,19,Mixed,
145,King's Norton Boys' School,northfield road,B30 1DY,Secondary,-1.941583325,52.41716157,King's Norton,Birmingham,Open,Foundation school,0,1,0,11,16,Boys,Good
