,School_Name,STREET,POSTCODE,LNG,LAT,LOCALITY,GENDER,OFSTEDRATING,price_paid,postcode,property_type,new_build,estate_type,street
121,Braidwood School for the Deaf,bromford road,B36 8AF,-1.819994226,52.50236631,,Mixed,Good,215000,B36 8TG,T,N,F,bromford road
122,Braidwood School for the Deaf,bromford road,B36 8AF,-1.819994226,52.50236631,,Mixed,Good,170000,B36 8TG,O,N,L,bromford road
123,Braidwood School for the Deaf,bromford road,B36 8AF,-1.819994226,52.50236631,,Mixed,Good,170000,B36 8TG,O,N,F,bromford road
124,Hodge Hill College,bromford road,B36 8HB,-1.8205279630000002,52.50158216,Hodge Hill,Mixed,Good,210000,B36 8AH,S,N,F,bromford road
125,Hodge Hill College,bromford road,B36 8HB,-1.8205279630000002,52.50158216,Hodge Hill,Mixed,Good,230000,B36 8HJ,S,N,F,bromford road
126,Hodge Hill College,bromford road,B36 8HB,-1.8205279630000002,52.50158216,Hodge Hill,Mixed,Good,215000,B36 8TG,T,N,F,bromford road
127,Hodge Hill College,bromford road,B36 8HB,-1.8205279630000002,52.50158216,Hodge Hill,Mixed,Good,170000,B36 8TG,O,N,L,bromford road
128,Hodge Hill College,bromford road,B36 8HB,-1.8205279630000002,52.50158216,Hodge Hill,Mixed,Good,170000,B36 8TG,O,N,F,bromford road
129,Hodge Hill Girls' School,bromford road,B36 8EY,-1.817798574,52.50259384,Hodge Hill,Girls,Good,210000,B36 8AH,S,N,F,bromford road
130,Hodge Hill Girls' School,bromford road,B36 8EY,-1.817798574,52.50259384,Hodge Hill,Girls,Good,230000,B36 8HJ,S,N,F,bromford road
131,Hodge Hill Girls' School,bromford road,B36 8EY,-1.817798574,52.50259384,Hodge Hill,Girls,Good,215000,B36 8TG,T,N,F,bromford road
132,Hodge Hill Girls' School,bromford road,B36 8EY,-1.817798574,52.50259384,Hodge Hill,Girls,Good,170000,B36 8TG,O,N,L,bromford road
133,Hodge Hill Girls' School,bromford road,B36 8EY,-1.817798574,52.50259384,Hodge Hill,Girls,Good,170000,B36 8TG,O,N,F,bromford road
134,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,200000,B26 1NS,T,N,L,brays road
135,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,225000,B26 1NX,S,N,F,brays road
136,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,260000,B26 1NX,S,N,F,brays road
137,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,225000,B26 1NX,S,N,F,brays road
138,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,220000,B26 2PP,S,N,L,brays road
139,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,214000,B26 2PP,S,N,F,brays road
140,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,200000,B26 2RL,S,N,F,brays road
141,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,168000,B26 2RS,S,N,F,brays road
142,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,168000,B26 2RS,S,N,F,brays road
143,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,182000,B26 2RT,T,N,F,brays road
144,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,195000,B26 2UL,S,N,F,brays road
145,Brays School,brays road,B26 1NS,-1.794517955,52.45926006,Sheldon,Mixed,Outstanding,115000,B26 2UL,F,N,L,brays road
146,Broadmeadow Infant School,monyhull hall road,B30 3QJ,-1.914413515,52.40865849,Kings Norton,Mixed,Good,142000,B30 3QD,F,N,L,monyhull hall road
147,Broadmeadow Infant School,monyhull hall road,B30 3QJ,-1.914413515,52.40865849,Kings Norton,Mixed,Good,112500,B30 3QD,F,N,L,monyhull hall road
148,Broadmeadow Infant School,monyhull hall road,B30 3QJ,-1.914413515,52.40865849,Kings Norton,Mixed,Good,112500,B30 3QD,F,N,L,monyhull hall road
149,Broadmeadow Infant School,monyhull hall road,B30 3QJ,-1.914413515,52.40865849,Kings Norton,Mixed,Good,187000,B30 3QJ,F,N,L,monyhull hall road
150,Broadmeadow Infant School,monyhull hall road,B30 3QJ,-1.914413515,52.40865849,Kings Norton,Mixed,Good,98500,B30 3QJ,F,N,L,monyhull hall road
151,Broadmeadow Infant School,monyhull hall road,B30 3QJ,-1.914413515,52.40865849,Kings Norton,Mixed,Good,94000,B30 3QJ,F,N,L,monyhull hall road
152,Broadmeadow Infant School,monyhull hall road,B30 3QJ,-1.914413515,52.40865849,Kings Norton,Mixed,Good,105000,B30 3QJ,F,N,L,monyhull hall road
